,property_type,seller,status,rate per sqft,price,area,location,RERA
552,2 BHK Apartment in Ayati Lake View ,Ayati Properties,Under Construction,"4,804 / sq ft", 52.79 L,1100 ,Chengicherla,approval by RERA
553,3 BHK Independent House,seller,Ready to move,"6,466 / sq ft", 1.1 Cr,1701 ,Chengicherla,not approval by RERA
554,4 BHK Villa,seller,Ready to move,"8,750 / sq ft", 3.5 Cr,4000 ,Yapral,not approval by RERA
555,2 BHK Apartment,seller,Under Construction,"4,650 / sq ft", 59.52 L,1280 ,Kollur,not approval by RERA
556,5 BHK Independent House,seller,Ready to move,"3,974 / sq ft", 1.55 Cr,3900 ,Sainikpuri,not approval by RERA
557,3 BHK Apartment,seller,Ready to move,"7,006 / sq ft", 1.1 Cr,1570 ,Kondapur,not approval by RERA
558,3 BHK Independent House,seller,Ready to move,"5,000 / sq ft", 80 L,1600 ,Kapra,not approval by RERA
559,3 BHK Independent House,seller,Ready to move,"5,312 / sq ft", 85 L,1600 ,Kapra,not approval by RERA
560,3 BHK Apartment,seller,Ready to move,"3,905 / sq ft", 66 L,1690 ,Kollur,not approval by RERA
561,4 BHK Independent House,seller,Ready to move,"13,207 / sq ft", 3.5 Cr,2650 ,Kompally,not approval by RERA
562,5 BHK Independent House,seller,Ready to move,"3,974 / sq ft", 1.55 Cr,3900 ,Sainikpuri,not approval by RERA
563,3 BHK Apartment,seller,Ready to move,"7,006 / sq ft", 1.1 Cr,1570 ,Kondapur,not approval by RERA
564,3 BHK Independent House,seller,Ready to move,"5,000 / sq ft", 80 L,1600 ,Kapra,not approval by RERA
565,3 BHK Independent House,seller,Ready to move,"5,312 / sq ft", 85 L,1600 ,Kapra,not approval by RERA
566,2 BHK Independent House,seller,Ready to move,"5,625 / sq ft", 90 L,1600 ,Kapra,not approval by RERA
567,3 BHK Apartment in Greater Kompally County,seller,Under Construction,"4,491 / sq ft", 75 L,1670 ,Kompally,approval by RERA
568,3 BHK Apartment in Sumadhura The Olympus,seller,Under Construction,"8,802 / sq ft", 1.47 Cr,1670 ,Nanakramguda,approval by RERA
569,3 BHK Apartment in IJM Raintree Park Phase 1,seller,Ready to move,"7,357 / sq ft", 1.1 Cr,1495 ,Kukatpally,not approval by RERA
570,3 BHK Apartment,seller,Ready to move,"5,365 / sq ft", 88 L,1640 ,Kondapur,not approval by RERA
571,2 BHK Apartment in Splendeur Shweta Shubham,seller,Ready to move,"6,224 / sq ft", 62 L,996 ,Kompally,not approval by RERA
572,2 BHK Apartment in Reputed Builder Lahari Susheela apartment,seller,Ready to move,"6,185 / sq ft", 60 L,970 ,Uppal,not approval by RERA
