,property_type,seller,status,rate per sqft,price,area,location,RERA
0,1 BHK Apartment in MKT Aspira Wondur & White Rock,MKT Praneeth Homes,Ready to move,"4,162 / sq ft", 26.1 L,627 ,Isnapur,not approval by RERA
1,2 BHK Apartment in Urbanrise On Cloud 33,Urbanrise Lifestyles Private Limited,Under Construction,"5,999 / sq ft", 66.58 L,1110 ,Bachupally,approval by RERA
2,4 BHK Villa in Sreenidhi Luxury Park 2,Phoenix Group,Under Construction,"8,000 / sq ft", 2.82 Cr,3532 ,Shamshabad,approval by RERA
3,4 BHK Villa in Vajra Nature City,Vajra Builders And Developers,Under Construction,"7,000 / sq ft", 1.61 Cr,2300 ,Bachupally,approval by RERA
4,1 BHK Apartment in Provident Manhattan Pods And Condos,Provident Housing Limited,Ready to move,"6,965 / sq ft", 42.49 L,610 ,Rajendra Nagar,not approval by RERA
5,2 BHK Apartment in Dinesh Auric,Dinesh Projects,Under Construction,"4,503 / sq ft", 52.96 L,1177 ,Bachupally,approval by RERA
6,2 BHK Apartment in Anuhar Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,700 / sq ft", 70.56 L,1238 ,Manikonda,approval by RERA
7,2 BHK Apartment in IRA Aspiration,Ira Reality,Under Construction,"4,799 / sq ft", 62.14 L,1295 ,Kollur,approval by RERA
8,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth Group,Under Construction,"6,899 / sq ft", 2.36 Cr,3435 ,Hyder Nagar,approval by RERA
9,3 BHK Apartment in Risinia Skyon,Risinia Builders,Under Construction,"4,999 / sq ft", 96.73 L,1935 ,Bachupally,approval by RERA
10,3 BHK Apartment in ELV 55 East Fort,ELV Projects,Under Construction,"5,200 / sq ft", 92.04 L,1770 ,Bandlaguda Jagir,approval by RERA
11,3 BHK Villa in N Square West Woods,N Square Projects,Under Construction,"3,847 / sq ft", 1.5 Cr,3900 ,Kollur,approval by RERA
12,3 BHK Apartment in Mahaveer Palm Grove,Mahaveer Group,Under Construction,"7,800 / sq ft", 1.17 Cr,1505 ,Begumpet,approval by RERA
13,2 BHK Apartment in Ramky Golden Circle,Ramky Estates Farms Ltd,Under Construction,"5,322 / sq ft", 71 L,1335 ,Tukkuguda,approval by RERA
14,3 BHK Apartment in Shreemukh Namitha 360 Life,Shreemukh Namitha Homes,Under Construction,"9,980 / sq ft", 2.47 Cr,2475 ,Hitech City,approval by RERA
15,3 BHK Apartment in Navya Uvera Heights,Navya Developers,Under Construction,"6,726 / sq ft", 1.66 Cr,2470 ,LB Nagar,approval by RERA
16,4 BHK Apartment in Hallmark Treasor,Hallmark Builders,Under Construction,"6,999 / sq ft", 3.55 Cr,5080 ,Gandipet,approval by RERA
17,3 BHK Apartment in GHR Titania,GHR Infra,Under Construction,"6,749 / sq ft", 1.19 Cr,1770 ,Kondapur,approval by RERA
18,3 BHK Apartment in Sumadhura The Olympus,Sumadhura Infracon Pvt Ltd,Under Construction,"7,499 / sq ft", 1.25 Cr,1670 ,Nanakramguda,approval by RERA
19,3 BHK Villa in Vessella Meadows,Vessella Group,Under Construction,"18,000 / sq ft", 5.22 Cr,2900 ,Narsingi,approval by RERA
20,3 BHK Apartment in Bridge Paramount,Bridge Constructions Private Limited,Under Construction,"9,500 / sq ft", 1.84 Cr,1945 ,Padmarao Nagar,approval by RERA
21,3 BHK Apartment in Trishala Saffron Sanathan,Trishala Infrastructure,Ready to move,"6,499 / sq ft", 1.19 Cr,1833 ,Nallagandla Gachibowli,not approval by RERA
22,3 BHK Apartment in Merlion Galaxia,Merlion Builders,Under Construction,"5,000 / sq ft", 77.51 L,1551 ,Pragathi Nagar Kukatpally,approval by RERA
23,3 BHK Apartment in Riddhi Saphire,Riddhi Group,Under Construction,"6,595 / sq ft", 99.58 L,1510 ,Narsingi,approval by RERA
24,4 BHK Villa in NDR Vipasa,NDR Developers,Under Construction,"7,499 / sq ft", 2.49 Cr,3325 ,Shankarpalli,approval by RERA
25,3 BHK Apartment in Ayati Hill Top,Ayati Properties,Under Construction,"5,800 / sq ft", 95.23 L,1642 ,Bandlaguda Jagir,approval by RERA
26,2 BHK Apartment in Aspire Spaces Ameya,Aspire Spaces Private Limited,Under Construction,"5,199 / sq ft", 62.9 L,1210 ,Miyapur,approval by RERA
27,3 BHK Apartment in Tribhuja Tribhuja,Tribhuja Realty,Under Construction,"3,399 / sq ft", 66.79 L,1965 ,Kollur,approval by RERA
28,3 BHK Apartment in Signature Altius,Signature Avenues,Under Construction,"4,600 / sq ft", 87.4 L,1900 ,Kollur,approval by RERA
29,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 2.36 Cr,3435 ,Hyder Nagar,approval by RERA
30,3 BHK Apartment in BSCPL Bollineni Bion,BSCPL Infrastructure Ltd,Under Construction,"10,017 / sq ft", 1.96 Cr,1965 ,Kondapur,approval by RERA
31,3 BHK Apartment in Om Sree Heights,Om Sree Builders And Developers,Under Construction,"5,800 / sq ft", 1.47 Cr,2545 ,Yapral,approval by RERA
32,4 BHK Villa in Hallmark County,Hallmark Infracon I Pvt Ltd,Under Construction,"12,000 / sq ft", 5.13 Cr,4280 ,Osman Nagar,approval by RERA
33,3 BHK Apartment in Ayati Lake View ,Ayati Properties,Under Construction,"4,802 / sq ft", 78.23 L,1630 ,Chengicherla,approval by RERA
34,2 BHK Apartment in Vasavi Urban,Vasavi Group,Under Construction,"4,800 / sq ft", 42 L,875 ,Bachupally,approval by RERA
35,2 BHK Apartment in Vaishnavi Houdini,Vaishnavi Infracon India Pvt Ltd,Under Construction,"5,199 / sq ft", 74.7 L,1437 ,Bandlaguda Jagir,approval by RERA
36,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 71.08 L,1422 ,Mallampet,approval by RERA
37,2 BHK Apartment in Rami Reddy Laxmi Ram Haran,Ramireddy Constructions,Under Construction,"8,184 / sq ft", 96 L,1173 ,Attapur,approval by RERA
38,3 BHK Apartment in Salarpuria Magnus,Salarpuria Sattva,Ready to move,"10,656 / sq ft", 2.43 Cr,2285 ,Shaikpet,not approval by RERA
39,2 BHK Apartment in MKT Aspira Wondur & White Rock,MKT Praneeth Homes,Ready to move,"3,728 / sq ft", 43.73 L,1173 ,Isnapur,not approval by RERA
40,3 BHK Apartment in Urbanrise On Cloud 33,Urbanrise Lifestyles Private Limited,Under Construction,"5,999 / sq ft", 97 L,1617 ,Bachupally,approval by RERA
41,4 BHK Villa in Sreenidhi Luxury Park 2,Phoenix Group,Under Construction,"8,000 / sq ft", 3.13 Cr,3923 ,Shamshabad,approval by RERA
42,3 BHK Apartment in Vajra The Royal Park,Vajra Builders And Developers,Under Construction,"4,200 / sq ft", 64.47 L,1535 ,Bowrampet,approval by RERA
43,1 RK Studio Apartment in Provident Manhattan Pods And Condos,Provident Housing Limited,Ready to move,"6,971 / sq ft", 26.49 L,380 ,Rajendra Nagar,not approval by RERA
44,2 BHK Apartment in Dinesh Auric,Dinesh Projects,Under Construction,"4,504 / sq ft", 46.75 L,1039 ,Bachupally,approval by RERA
45,2 BHK Apartment in Anuhar Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,700 / sq ft", 75.18 L,1319 ,Manikonda,approval by RERA
46,2 BHK Apartment in IRA M3,Ira Reality,Under Construction,"4,500 / sq ft", 49.72 L,1105 ,Kollur,approval by RERA
47,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth Group,Under Construction,"6,899 / sq ft", 2.13 Cr,3094 ,Hyder Nagar,approval by RERA
48,3 BHK Apartment in Risinia Skyon,Risinia Builders,Under Construction,"4,999 / sq ft", 1.11 Cr,2223 ,Bachupally,approval by RERA
49,2 BHK Apartment in ELV 55 East Fort,ELV Projects,Under Construction,"5,200 / sq ft", 64.74 L,1245 ,Bandlaguda Jagir,approval by RERA
50,3 BHK Villa in N Square West Woods,N Square Projects,Under Construction,"3,847 / sq ft", 1 Cr,2600 ,Kollur,approval by RERA
51,3 BHK Apartment in Mahaveer Palm Grove,Mahaveer Group,Under Construction,"7,800 / sq ft", 1.33 Cr,1710 ,Begumpet,approval by RERA
52,2 BHK Apartment in Ramky Golden Circle,Ramky Estates Farms Ltd,Under Construction,"5,322 / sq ft", 72.6 L,1365 ,Tukkuguda,approval by RERA
53,3 BHK Apartment in Shreemukh Namitha 360 Life,Shreemukh Namitha Homes,Under Construction,"9,980 / sq ft", 3.34 Cr,3350 ,Hitech City,approval by RERA
54,3 BHK Apartment in Navya Uvera Heights,Navya Developers,Under Construction,"6,837 / sq ft", 1.26 Cr,1845 ,LB Nagar,approval by RERA
55,3 BHK Apartment in Hallmark Treasor,Hallmark Builders,Under Construction,"6,999 / sq ft", 2.68 Cr,3830 ,Gandipet,approval by RERA
56,3 BHK Apartment in GHR Titania,GHR Infra,Under Construction,"6,749 / sq ft", 1.5 Cr,2224 ,Kondapur,approval by RERA
57,3 BHK Apartment in Sumadhura The Olympus,Sumadhura Infracon Pvt Ltd,Under Construction,"7,499 / sq ft", 2.24 Cr,3000 ,Nanakramguda,approval by RERA
58,4 BHK Villa in Vessella Meadows,Vessella Group,Under Construction,"18,000 / sq ft", 6.4 Cr,3560 ,Narsingi,approval by RERA
59,3 BHK Apartment in Bridge Paramount,Bridge Constructions Private Limited,Under Construction,"9,500 / sq ft", 1.79 Cr,1885 ,Padmarao Nagar,approval by RERA
60,2 BHK Apartment in Trishala Saffron Sanathan,Trishala Infrastructure,Ready to move,"6,499 / sq ft", 84.09 L,1294 ,Nallagandla Gachibowli,not approval by RERA
61,3 BHK Apartment in Merlion Galaxia,Merlion Builders,Under Construction,"5,000 / sq ft", 92.66 L,1854 ,Pragathi Nagar Kukatpally,approval by RERA
62,3 BHK Apartment in Riddhi Saphire,Riddhi Group,Under Construction,"6,595 / sq ft", 1.23 Cr,1875 ,Narsingi,approval by RERA
63,3 BHK Apartment in Ayati Hill Top,Ayati Properties,Under Construction,"5,800 / sq ft", 92.1 L,1588 ,Bandlaguda Jagir,approval by RERA
64,3 BHK Apartment in Aspire Spaces Ameya,Aspire Spaces Private Limited,Under Construction,"5,199 / sq ft", 1 Cr,1940 ,Miyapur,approval by RERA
65,3 BHK Apartment in Tribhuja Tribhuja,Tribhuja Realty,Under Construction,"3,399 / sq ft", 58.97 L,1735 ,Kollur,approval by RERA
66,3 BHK Apartment in Signature Altius,Signature Avenues,Under Construction,"4,600 / sq ft", 1.11 Cr,2425 ,Kollur,approval by RERA
67,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 2.36 Cr,3435 ,Hyder Nagar,approval by RERA
68,3 BHK Apartment in BSCPL Bollineni Bion,BSCPL Infrastructure Ltd,Under Construction,"10,123 / sq ft", 2.31 Cr,2290 ,Kondapur,approval by RERA
69,3 BHK Apartment in Om Sree Heights,Om Sree Builders And Developers,Under Construction,"5,800 / sq ft", 1.47 Cr,2545 ,Yapral,approval by RERA
70,4 BHK Villa in Hallmark County,Hallmark Infracon I Pvt Ltd,Under Construction,"12,000 / sq ft", 4.52 Cr,3773 ,Osman Nagar,approval by RERA
71,2 BHK Apartment in Ayati Lake View ,Ayati Properties,Under Construction,"4,800 / sq ft", 62.92 L,1311 ,Chengicherla,approval by RERA
72,2 BHK Apartment in Vasavi Urban,Vasavi Group,Under Construction,"4,410 / sq ft", 43 L,975 ,Bachupally,approval by RERA
73,3 BHK Apartment in Vaishnavi Houdini,Vaishnavi Infracon India Pvt Ltd,Under Construction,"5,199 / sq ft", 99.24 L,1909 ,Bandlaguda Jagir,approval by RERA
74,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 77.83 L,1557 ,Mallampet,approval by RERA
75,3 BHK Apartment in Rami Reddy Laxmi Ram Haran,Ramireddy Constructions,Under Construction,"7,878 / sq ft", 1.4 Cr,1777 ,Attapur,approval by RERA
76,2 BHK Apartment in Salarpuria Magnus,Salarpuria Sattva,Ready to move,"9,987 / sq ft", 1.49 Cr,1495 ,Shaikpet,not approval by RERA
77,1 BHK Apartment in MKT Aspira Wondur & White Rock,MKT Praneeth Homes,Ready to move,"4,170 / sq ft", 25.15 L,603 ,Isnapur,not approval by RERA
78,4 BHK Apartment in Urbanrise On Cloud 33,Urbanrise Lifestyles Private Limited,Under Construction,"5,999 / sq ft", 1.14 Cr,1914 ,Bachupally,approval by RERA
79,4 BHK Villa in Sreenidhi Luxury Park 2,Phoenix Group,Under Construction,"8,000 / sq ft", 3.13 Cr,3920 ,Shamshabad,approval by RERA
80,2 BHK Apartment in Vajra The Royal Park,Vajra Builders And Developers,Under Construction,"4,200 / sq ft", 53.55 L,1275 ,Bowrampet,approval by RERA
81,1 RK Studio Apartment in Provident Kenworth,Provident Housing Limited,Ready to move,"7,121 / sq ft", 26.99 L,379 ,Rajendra Nagar,not approval by RERA
82,3 BHK Apartment in Dinesh Auric,Dinesh Projects,Under Construction,"4,502 / sq ft", 81.89 L,1820 ,Bachupally,approval by RERA
83,2 BHK Apartment in Anuhar Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,700 / sq ft", 82.59 L,1449 ,Manikonda,approval by RERA
84,3 BHK Apartment in IRA Aspiration,Ira Reality,Under Construction,"4,799 / sq ft", 76.54 L,1595 ,Kollur,approval by RERA
85,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth Group,Under Construction,"6,899 / sq ft", 1.76 Cr,2560 ,Hyder Nagar,approval by RERA
86,3 BHK Apartment in Risinia Skyon,Risinia Builders,Under Construction,"4,999 / sq ft", 83.63 L,1673 ,Bachupally,approval by RERA
87,3 BHK Apartment in ELV 55 East Fort,ELV Projects,Under Construction,"5,200 / sq ft", 99.06 L,1905 ,Bandlaguda Jagir,approval by RERA
88,3 BHK Apartment in N Square Shoolin City,N Square Projects,Under Construction,"3,700 / sq ft", 54.76 L,1480 ,Shankarpalli,approval by RERA
89,2 BHK Apartment in Mahaveer Palm Grove,Mahaveer Group,Under Construction,"7,800 / sq ft", 87.36 L,1120 ,Begumpet,approval by RERA
90,2 BHK Apartment in Ramky Golden Circle,Ramky Estates Farms Ltd,Under Construction,"5,319 / sq ft", 75.26 L,1415 ,Tukkuguda,approval by RERA
91,4 BHK Apartment in Shreemukh Namitha 360 Life,Shreemukh Namitha Homes,Under Construction,"9,980 / sq ft", 3.56 Cr,3575 ,Hitech City,approval by RERA
92,3 BHK Apartment in Navya Uvera Heights,Navya Developers,Under Construction,"6,874 / sq ft", 1.16 Cr,1700 ,LB Nagar,approval by RERA
93,3 BHK Apartment in Hallmark Treasor,Hallmark Builders,Under Construction,"7,003 / sq ft", 1.18 Cr,1695 ,Gandipet,approval by RERA
94,3 BHK Apartment in GHR Titania,GHR Infra,Under Construction,"6,749 / sq ft", 1.5 Cr,2235 ,Kondapur,approval by RERA
95,3 BHK Apartment in Sumadhura The Olympus,Sumadhura Infracon Pvt Ltd,Under Construction,"7,499 / sq ft", 1.5 Cr,2010 ,Nanakramguda,approval by RERA
96,3 BHK Villa in Vessella Meadows,Vessella Group,Under Construction,"18,000 / sq ft", 5.23 Cr,2908 ,Narsingi,approval by RERA
97,3 BHK Apartment in Bridge Paramount,Bridge Constructions Private Limited,Under Construction,"9,500 / sq ft", 1.66 Cr,1755 ,Padmarao Nagar,approval by RERA
98,2 BHK Apartment in Trishala Saffron Sanathan,Trishala Infrastructure,Ready to move,"6,499 / sq ft", 88.25 L,1358 ,Nallagandla Gachibowli,not approval by RERA
99,2 BHK Apartment in Merlion Galaxia,Merlion Builders,Under Construction,"5,000 / sq ft", 63.75 L,1275 ,Pragathi Nagar Kukatpally,approval by RERA
100,1 BHK Apartment in MKT Aspira Wondur & White Rock,MKT Praneeth Homes,Ready to move,"4,432 / sq ft", 25.8 L,582 ,Isnapur,not approval by RERA
101,2 BHK Apartment in MKT Aspira Wondur & White Rock,MKT Praneeth Homes,Ready to move,"4,233 / sq ft", 40.6 L,959 ,Isnapur,not approval by RERA
102,2 BHK Apartment in MKT Aspira Wondur & White Rock,MKT Praneeth Homes,Ready to move,"4,304 / sq ft", 33.75 L,784 ,Isnapur,not approval by RERA
103,1 BHK Apartment in MKT Aspira Wondur & White Rock,MKT Praneeth Homes,Ready to move,"4,477 / sq ft", 24.4 L,545 ,Isnapur,not approval by RERA
104,4 BHK Villa in Sreenidhi Luxury Park 2,Phoenix Group,Under Construction,"8,000 / sq ft", 2.79 Cr,3499 ,Shamshabad,approval by RERA
105,4 BHK Villa in Sreenidhi Luxury Park 2,Phoenix Group,Under Construction,"8,000 / sq ft", 3.1 Cr,3886 ,Shamshabad,approval by RERA
106,4 BHK Villa in Sreenidhi Luxury Park 2,Phoenix Group,Under Construction,"8,000 / sq ft", 3.14 Cr,3937 ,Shamshabad,approval by RERA
107,3 BHK Apartment in Dinesh Auric,Dinesh Projects,Under Construction,"4,503 / sq ft", 55.43 L,1232 ,Bachupally,approval by RERA
108,3 BHK Apartment in Anuhar Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,700 / sq ft", 1.1 Cr,1932 ,Manikonda,approval by RERA
109,3 BHK Apartment in Anuhar Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,700 / sq ft", 95.53 L,1676 ,Manikonda,approval by RERA
110,3 BHK Apartment in Anuhar Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,700 / sq ft", 1.09 Cr,1927 ,Manikonda,approval by RERA
111,2 BHK Apartment in Anuhar Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,700 / sq ft", 70.56 L,1238 ,Manikonda,approval by RERA
112,2 BHK Apartment in Anuhar Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,700 / sq ft", 75.18 L,1319 ,Manikonda,approval by RERA
113,2 BHK Apartment in Anuhar Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,700 / sq ft", 82.59 L,1449 ,Manikonda,approval by RERA
114,3 BHK Apartment in Anuhar Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,700 / sq ft", 1.1 Cr,1932 ,Manikonda,approval by RERA
115,3 BHK Apartment in Anuhar Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,700 / sq ft", 1.09 Cr,1926 ,Manikonda,approval by RERA
116,3 BHK Apartment in Anuhar Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,700 / sq ft", 95.53 L,1676 ,Manikonda,approval by RERA
117,3 BHK Apartment in Anuhar Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,700 / sq ft", 1.09 Cr,1927 ,Manikonda,approval by RERA
118,3 BHK Apartment in Anuhar Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,700 / sq ft", 1.09 Cr,1926 ,Manikonda,approval by RERA
119,3 BHK Apartment in Anuhar Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,700 / sq ft", 98.72 L,1732 ,Manikonda,approval by RERA
120,3 BHK Apartment in Anuhar Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,700 / sq ft", 98.72 L,1732 ,Manikonda,approval by RERA
121,2 BHK Apartment in IRA M3,Ira Reality,Under Construction,"4,500 / sq ft", 49.72 L,1105 ,Kollur,approval by RERA
122,2 BHK Apartment in IRA M3,Ira Reality,Under Construction,"4,500 / sq ft", 49.5 L,1100 ,Kollur,approval by RERA
123,2 BHK Apartment in IRA M3,Ira Reality,Under Construction,"4,500 / sq ft", 49.5 L,1100 ,Kollur,approval by RERA
124,3 BHK Apartment in IRA Aspiration,Ira Reality,Under Construction,"4,799 / sq ft", 1.05 Cr,2195 ,Kollur,approval by RERA
125,2 BHK Apartment in IRA Aspiration,Ira Reality,Under Construction,"4,799 / sq ft", 62.14 L,1295 ,Kollur,approval by RERA
126,3 BHK Apartment in IRA Aspiration,Ira Reality,Under Construction,"4,799 / sq ft", 76.54 L,1595 ,Kollur,approval by RERA
127,3 BHK Apartment in IRA Aspiration,Ira Reality,Under Construction,"4,799 / sq ft", 1.05 Cr,2195 ,Kollur,approval by RERA
128,3 BHK Apartment in IRA Aspiration,Ira Reality,Under Construction,"4,799 / sq ft", 71.74 L,1495 ,Kollur,approval by RERA
129,3 BHK Apartment in IRA Aspiration,Ira Reality,Under Construction,"4,799 / sq ft", 71.74 L,1495 ,Kollur,approval by RERA
130,3 BHK Apartment in IRA Aspiration,Ira Reality,Under Construction,"4,799 / sq ft", 90.94 L,1895 ,Kollur,approval by RERA
131,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth Group,Under Construction,"6,899 / sq ft", 1.4 Cr,2040 ,Hyder Nagar,approval by RERA
132,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth Group,Under Construction,"6,899 / sq ft", 2.02 Cr,2939 ,Hyder Nagar,approval by RERA
133,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth Group,Under Construction,"6,899 / sq ft", 1.39 Cr,2020 ,Hyder Nagar,approval by RERA
134,2 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth Group,Under Construction,"6,899 / sq ft", 92.79 L,1345 ,Hyder Nagar,approval by RERA
135,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth Group,Under Construction,"6,899 / sq ft", 1.89 Cr,2740 ,Hyder Nagar,approval by RERA
136,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth Group,Under Construction,"6,899 / sq ft", 1.54 Cr,2240 ,Hyder Nagar,approval by RERA
137,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth Group,Under Construction,"6,899 / sq ft", 1.5 Cr,2179 ,Hyder Nagar,approval by RERA
138,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth Group,Under Construction,"6,899 / sq ft", 2 Cr,2900 ,Hyder Nagar,approval by RERA
139,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth Group,Under Construction,"6,899 / sq ft", 1.26 Cr,1837 ,Hyder Nagar,approval by RERA
140,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth Group,Under Construction,"6,899 / sq ft", 2 Cr,2900 ,Hyder Nagar,approval by RERA
141,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth Group,Under Construction,"6,899 / sq ft", 1.26 Cr,1837 ,Hyder Nagar,approval by RERA
142,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth Group,Under Construction,"6,899 / sq ft", 1.36 Cr,1980 ,Hyder Nagar,approval by RERA
143,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth Group,Under Construction,"6,899 / sq ft", 2.01 Cr,2920 ,Hyder Nagar,approval by RERA
144,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth Group,Under Construction,"6,899 / sq ft", 1.65 Cr,2392 ,Hyder Nagar,approval by RERA
145,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth Group,Under Construction,"6,899 / sq ft", 1.64 Cr,2388 ,Hyder Nagar,approval by RERA
146,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth Group,Under Construction,"6,899 / sq ft", 2.5 Cr,3624 ,Hyder Nagar,approval by RERA
147,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth Group,Under Construction,"6,899 / sq ft", 2.31 Cr,3360 ,Hyder Nagar,approval by RERA
148,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth Group,Under Construction,"6,899 / sq ft", 1.77 Cr,2570 ,Hyder Nagar,approval by RERA
149,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth Group,Under Construction,"6,899 / sq ft", 1.61 Cr,2345 ,Hyder Nagar,approval by RERA
150,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth Group,Under Construction,"6,899 / sq ft", 1.44 Cr,2100 ,Hyder Nagar,approval by RERA
151,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth Group,Under Construction,"6,899 / sq ft", 1.24 Cr,1810 ,Hyder Nagar,approval by RERA
152,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth Group,Under Construction,"6,899 / sq ft", 1.82 Cr,2640 ,Hyder Nagar,approval by RERA
153,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth Group,Under Construction,"6,899 / sq ft", 1.88 Cr,2733 ,Hyder Nagar,approval by RERA
154,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth Group,Under Construction,"6,899 / sq ft", 1.23 Cr,1784 ,Hyder Nagar,approval by RERA
155,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth Group,Under Construction,"6,899 / sq ft", 2.45 Cr,3554 ,Hyder Nagar,approval by RERA
156,2 BHK Apartment in Praneeth APR Pranav Townsquare,Praneeth Group,Under Construction,"5,900 / sq ft", 80 L,1356 ,Bachupally,approval by RERA
157,2 BHK Apartment in Praneeth APR Pranav Townsquare,Praneeth Group,Under Construction,"5,398 / sq ft", 62.61 L,1160 ,Bachupally,approval by RERA
158,2 BHK Apartment in Praneeth Pranav Flora,Praneeth Group,Under Construction,"4,298 / sq ft", 49.55 L,1153 ,Bahadurpally,approval by RERA
159,2 BHK Apartment in Risinia Oyster,Risinia Builders,Under Construction,"5,600 / sq ft", 71.4 L,1275 ,Bachupally,approval by RERA
160,2 BHK Apartment in Risinia Oyster,Risinia Builders,Under Construction,"5,600 / sq ft", 62.83 L,1122 ,Bachupally,approval by RERA
161,3 BHK Apartment in Risinia Oyster,Risinia Builders,Under Construction,"5,600 / sq ft", 87.24 L,1558 ,Bachupally,approval by RERA
162,3 BHK Apartment in Risinia Oyster,Risinia Builders,Under Construction,"5,600 / sq ft", 85.34 L,1524 ,Bachupally,approval by RERA
163,2 BHK Apartment in Risinia Oyster,Risinia Builders,Under Construction,"5,600 / sq ft", 66.64 L,1190 ,Bachupally,approval by RERA
164,3 BHK Apartment in Risinia Oyster,Risinia Builders,Under Construction,"5,600 / sq ft", 76.44 L,1365 ,Bachupally,approval by RERA
165,3 BHK Apartment in Risinia Skyon,Risinia Builders,Under Construction,"4,999 / sq ft", 92.13 L,1843 ,Bachupally,approval by RERA
166,2 BHK Apartment in Risinia Skyon,Risinia Builders,Under Construction,"4,999 / sq ft", 63.03 L,1261 ,Bachupally,approval by RERA
167,3 BHK Apartment in Risinia Skyon,Risinia Builders,Under Construction,"4,999 / sq ft", 82.53 L,1651 ,Bachupally,approval by RERA
168,3 BHK Apartment in Risinia Skyon,Risinia Builders,Under Construction,"4,999 / sq ft", 1.06 Cr,2126 ,Bachupally,approval by RERA
169,2 BHK Apartment in Risinia Skyon,Risinia Builders,Under Construction,"4,999 / sq ft", 69.38 L,1388 ,Bachupally,approval by RERA
170,3 BHK Apartment in Risinia Skyon,Risinia Builders,Under Construction,"4,999 / sq ft", 76.33 L,1527 ,Bachupally,approval by RERA
171,3 BHK Apartment in Risinia Skyon,Risinia Builders,Under Construction,"4,999 / sq ft", 96.38 L,1928 ,Bachupally,approval by RERA
172,2 BHK Apartment in ELV ELV Cosmopolis,ELV Projects,Under Construction,"3,800 / sq ft", 53.01 L,1395 ,Adibatla,approval by RERA
173,2 BHK Apartment in ELV ELV Cosmopolis,ELV Projects,Under Construction,"3,800 / sq ft", 48.83 L,1285 ,Adibatla,approval by RERA
174,2 BHK Apartment in ELV ELV Cosmopolis,ELV Projects,Under Construction,"4,184 / sq ft", 49.99 L,1195 ,Adibatla,approval by RERA
